;F1;F2;F3;F4
ferocity;0.00741431923320124;0.025907097818169685;0.016577459790590342;0.01444109664485485
romanitas;0.004321537380087162;0.00013933224479801255;0.007638294234704945;0.0022341382776121426
goth;0.14748217755159418;0.011297582840354172;0.00936917031218651;0.014714642840843556
barbarization;0.005061967900913355;0.020257131758056032;0.001382411318155446;0.008407589544173675
mathisen;0.0018738205795265017;0.009977328130454707;0.009663280347729326;0.005299639872028118
church;0.10486054992169776;0.052589777576944545;0.015246709558482794;0.0237347560147499
28:1–6;0.0005775133850761292;1.886331527493907e-06;0.0089372352122896;0.003943580415652521
romanticism;0.002465436546445022;0.0012554310228653255;0.005713374138997176;0.005179004119584306
settle;0.05676171966216434;0.08602527560689985;0.0014733113841970801;0.0023009799931866
burgundians;0.03323137963840913;0.0002782468758970177;0.009788362773112163;0.0009397164695784854
chastity;0.0004069731367971179;0.0008424764710416133;0.0011714184374534604;0.0006408547935213035
federate;0.013507830928278364;0.0282378260990663;0.0035692102717910317;0.01040853540924131
cultural;0.27938357676059117;0.012195036491584486;0.04099073065244839;0.07463602417629266
ethnic;0.014882217791148537;0.010198537276581907;0.04170492954448113;0.061919107910991325
stilicho;0.040139974154193424;0.03601211049489859;0.06319874060231923;0.0014061948330457096
danube;0.07498993977650562;0.0968231076496096;0.06586137588129948;0.0033157188658191846
heather;0.00028353765702039945;0.0023369180991216526;0.09648960041408906;0.004245437265085876
political;0.004743226170233696;0.040441486335999706;0.15804816798687615;0.027981205262189463
arians;0.2868299702003315;0.19509039688112242;0.002104150785610336;0.014802390668024119
ep;0.014334325441078813;0.0018863543119169903;0.05212083773367904;0.0003679460443164383
synesius;0.013386529982529668;0.011455878128352278;0.033040178774684605;0.000518272074742462
greeks;2.669094330612141e-05;0.028481633387808333;0.015824207269365877;0.0058668036015053215
gubernatione;0.00016444517597133284;0.0005816701969261662;0.00042979259234903014;1.2291721974907474e-05
late;0.03283312356845621;0.027360287859305738;0.09540368742372153;0.06430385517304187
byzantines;0.016323045035942473;0.045141117928172186;0.004393626093318747;0.015947272010857626
orosius;0.018021888183403778;0.0031535398846799087;0.03615833197739886;0.03691485358193668
amm;0.002715512944538096;0.0010317049921712645;0.010118884241120335;0.002330075177820334
savage;0.002038516828334449;0.021398802559891218;0.02097389758100982;0.10119208767689386
herodotus;0.002892381595394676;0.029189409193806286;0.07787809372014969;0.04313399615415539
romanness;0.015031276032657472;9.737787953858247e-05;0.00033614561587340174;0.002390484588641773
βάρβαροι;0.0006813597477081015;0.00015372417524911773;0.0010207091299321205;0.0018556425421800225
28:7–10;0.001341899886418089;9.504457228880765e-06;0.01356029331053414;0.006290750468782886
fourth;0.02858848713624359;0.00046693905015533115;0.01879435725425964;0.11284857714266512
arbogast;0.004292822743758198;0.001443523986925105;0.0009317995712688361;0.003371238605420995
vice;0.0012128968201607301;0.005061835420707395;0.004840805007695704;0.0033871854880954387
culture;0.31978172371688957;0.02409047590279745;0.009135376736317515;0.05086272722221479
gainas;0.023632092077820643;0.0008048932537440145;0.007862293552080088;0.0009376148048578474
identities;0.08418814697440828;0.026475484577588186;0.00571918905388955;0.0005268157419100274
incursion;0.03531706668513686;0.1184057739130863;0.3009113352114991;0.15269191557016723
justinians;0.011239503625731243;0.032212013944001666;0.003643031452848139;0.015271078594282327
italy;0.015774184266985833;0.0023965365182517877;0.008087362295218238;0.06517672947422676
richter;0.02229933453830731;0.00028452661897729185;0.01297966288597347;0.012476932007217587
officer;0.046577935321349816;0.07755803606720718;0.013663262888015691;0.019534936607832374
nicenes;0.19991859723225325;0.1872687462580047;0.0012997915342799463;0.01731503221912461
barbaricis;0.0011072065023282915;0.0004915860973388231;7.736129484185717e-05;3.111336115742738e-05
goffart;0.004003424063358367;0.004934606685743638;0.012635168836171889;0.015489243285261101
theodoric;0.04346188578041449;0.006989387924150356;0.0008572691943518455;0.02256777980353166
procopius;0.030407939075230445;0.02199365477527893;0.0030953575151999205;0.04110120127664325
christianity;0.005850261610697898;0.010412116143284939;0.025559962922342118;6.829506933861617e-05
amory;0.008318941857793636;0.0002332530131255082;0.000197260760521645;0.0005944781475780676
migration;0.06543915486504233;2.3758557713019334e-05;0.0007068524665233586;0.017211752165726135
militum;0.05790722297580849;0.027036774171047273;0.01225748477016835;0.020933731536616602
fabiola;0.01690311691246687;0.05885680115609229;0.28480906677298046;0.1886122089841102
kingdom;0.0280423365958018;0.014932427457959934;0.10919906754958847;0.0008661513918215455
sacerdote;0.21485104347512973;0.15839699333647805;0.001617330178317515;0.01508182095751748
barbarous;0.0002943139556312676;0.008844606305691382;0.029966031548163956;0.01950052858589977
defeat;0.13820970216841819;0.1712190583413197;3.041167664076535e-05;0.015453855114094039
maenchen;0.0023434821770802927;0.011653529681104039;0.024026814133736748;0.009021692584796884
geary;0.05673388301479736;0.016097035124637102;0.0028349221402859054;0.00460190753713036
claudian;0.010188331889014803;0.04813520151767775;0.23594263119104145;0.14902437712611108
sanford;8.139894549551022e-06;1.748765688918725e-07;4.513268661430153e-05;3.863321037232387e-06
