;F1;F2;F3;F4
defeat;0.003108124507895557;0.005319203833267274;1.0719446089873955e-06;0.0007398800313947009
maenchen;0.00034237452224432114;0.0023520625978937977;0.005500938445228888;0.002812267164748907
geary;0.001140258632946906;0.000446927842689039;8.92828794232526e-05;0.00019706053784545696
claudian;0.0007240153090141808;0.004725432005143399;0.02627316779735707;0.02254587609713623
sanford;3.287956684941388e-07;9.746243747892424e-09;2.8572808291606914e-06;3.354453395050368e-07
helfen;0.000192279267441444;0.0012102541217678612;0.002585618041584392;0.0010136229912565242
28:1–10;2.85015599271429e-05;2.2276774163109667e-05;0.0007971116160991665;0.00025711353257260137
shanzer;9.885369618215306e-05;0.00018605577657599252;0.00020718231188819386;0.00010855304521430454
troop;0.0027372056365021677;0.005801849203622763;0.00012974251551324008;0.003119277826733866
episcopus;0.04639999376530925;0.053088012405333576;0.0001702563072866014;0.00826739875790906
act;0.0006023224411935585;0.0004899400699653798;0.010366120226168032;0.0028864800272847997
pagan;0.0005550499893692952;2.8720586759851254e-05;0.0023104864923599597;0.0006132436738870795
byzantine;0.0002936384562766833;0.002238128527381354;1.8729604893934293e-06;0.00521118429639064
generidus;3.1593048438015433e-06;1.0777451099646886e-05;5.89359879375981e-08;5.424189377311707e-05
invader;0.00034564222013002484;0.001792535396667217;0.0003501856839026304;9.802485458863449e-06
rufinus;0.0017346725572564082;0.001695197938285523;0.017198451211086534;0.018043632574695722
warlike;4.4348321000452554e-05;0.00012987612830467143;7.520754288864685e-05;3.843036146158854e-06
otherness;0.00040142607721881866;1.2803167751500631e-06;0.0001473231611951523;0.0002832713029364124
gentibus;2.3147925079635694e-05;2.0919395122085044e-07;4.4364786448518326e-05;5.713418359046258e-11
heydemann;0.0003147312633713389;8.740723305676524e-05;2.862470260924414e-06;6.900530302358295e-05
alans;0.0005920985437418779;0.0013080048071918927;0.0016315497867965306;0.00024757664913918045
origin;0.00041209006129204045;0.0014230748208256016;0.0007363931321200944;0.002764144618733563
gerda;0.00045898747810037055;0.00016925287579647974;1.4189434579632808e-05;9.24168978749708e-05
ostrogoths;0.0014561767766956995;0.00014770589110402904;8.318757797135169e-05;0.0006174692416226471
transformation;0.00188259239887639;0.000892497689757379;0.00022845429200941508;0.00030621521976345053
diocese;0.0015949091390472466;0.000977283421890825;3.354637738105568e-05;0.000672295961888816
apply;3.0668101210555196e-07;0.0019591379583370613;0.006396206265551926;0.0030409275787144025
nation;0.0008794265459314898;0.0007440133144014959;0.003376886407489425;0.00433302606392937
cherniakhiv;1.3358087691171371e-05;1.468078508854439e-05;0.00021574776922512584;6.180451276237357e-05
celtis;3.434182808775486e-06;4.572731773385532e-05;0.00024301702429184314;0.0005640170146815048
lewdness;3.36576353617575e-05;2.6821017126979613e-05;2.5266018343168705e-06;2.3775892033284673e-05
jer;0.0005911700820102775;0.0006911086355974355;0.008403635907133866;0.0005325063998077569
scythian;0.00018989335245025746;0.001566186373748973;0.003287884291844115;0.0026388701304603667
halsall;0.0006097838437434412;0.0005706766936658923;0.0007623082180618463;7.70873853300219e-05
rank;0.0013410374496828999;0.0007961851571500603;0.0007236879780475478;0.0002800160753197241
view;0.000789689020287663;4.3851893671508104e-05;0.006623723214562757;0.0037968493219451525
province;0.0016057644690202527;0.0012885356946594302;0.00011798343199492656;0.0014196200553522147
jones;0.0005131356002653442;7.851355720372644e-05;0.00033699893196529175;0.000639784285429095
sorte;0.0002574215018182889;0.0001921469153131894;2.6511240683421148e-05;0.0003205831017544084
apologist;5.688483045264109e-05;3.6227159429802914e-05;1.3183616187970013e-05;0.00019122327722612579
prosper;0.0026328876764609146;0.000313890666044442;0.002685423454708789;0.013888105204319537
greek;5.436907987102492e-05;0.0005888407415439458;4.293697008348027e-06;0.00017065455977725546
ammianus;0.0028805497568820653;0.0015555571588565507;0.004980723066789346;0.0027146853379155377
cyrila;0.005933927975663884;0.008302797975296228;1.2898985681656053e-05;0.0011041315077331177
lagarrigue;0.0001770776320143065;3.218524352448718e-06;1.956555975090722e-05;0.00011251660315826883
territory;0.000829552464963285;0.0027636158669728833;0.0006253025217743213;5.969434188142799e-05
plre;0.001229250149518062;3.3114459838178184e-05;0.0004186862147401902;2.288690855728959e-05
presbyter;0.009399424266344086;0.01252592217438581;4.369284216746512e-05;0.0012468349640828778
rhine;3.746279532397122e-05;0.0002553537045562747;3.193488002850768e-05;0.0002985384730519116
virtue;0.0001382634367124327;0.00021688547371869542;0.0017828402508014922;0.0002692127012042512
recruit;0.0008742924720812927;0.002520218354722461;0.00015108690922515443;0.0018841288112898984
sack;0.0021399549903699877;0.000642053874476374;0.003953617583028013;0.00839508321870291
sors;4.2208492783636494e-05;0.00012806380286454607;4.440912881829891e-05;0.00016079683680874965
heathen;1.7500404853730783e-05;4.9245806745490975e-05;0.0006663422819428437;9.552664767769508e-05
sacerdo;0.005360856109994016;0.007179685068473423;8.526952202454164e-05;0.0013919541475837071
eunapius;0.0010712614333625587;1.927751702324331e-05;0.00031381566662616394;0.0004630865509289938
paleogenomic;2.5819042577688748e-05;1.8762635411279193e-05;4.687345117724591e-05;7.543699609333849e-06
germans;7.376254763392448e-08;0.0003549923724104225;0.0006376301173370101;0.0004625888002695093
attila;0.003725714457235485;0.004850322099334987;0.005713695603992514;0.001307866613553283
barbaricum;4.2521458624176374e-07;0.00014365902607894757;0.00019735578137075342;0.00021759546700707156
plunder;0.0007283616891292799;0.0008363565392359554;6.401055585306458e-06;0.0008400975299091664
magister;0.0018151013303096834;0.0012489054383243102;0.00032815600461009087;0.00210877208968195
marc;0.00012192116528437715;0.00010635426184980568;0.0003656940369954371;2.1695958731553155e-06
cleric;0.0040235711982157365;0.003096079263334259;0.0007688686778680676;0.00035394716629114624
civilian;0.00011453738322751642;0.000563792654249188;4.86872697460854e-05;0.00029730407091462657
uncivilized;2.5775056986221063e-05;4.870213663152943e-06;2.5198467515155737e-05;0.00016063738873953895
lombards;0.0004607767086745084;3.1734587469082676e-05;0.0005760979627414012;2.2959941758671713e-05
pasquier;2.933423645432409e-07;8.18220721813162e-06;3.0570877190921465e-06;3.08823520804177e-06
hydatius;0.001868160401538054;3.32093024288957e-05;0.003527856605078758;0.0058805587251333944
adrianople;0.00027191747681487284;0.0002520509031394053;0.0006603552629826948;0.0003736117991444004
406;0.00014491601602045708;2.5445921231710253e-06;0.0005165577258495861;3.780113928394039e-05
pejorative;2.601655987964535e-05;6.017527871531986e-05;0.00027558563379429554;0.0003299129141876201
savagery;5.422654540855227e-06;0.00024305341823997666;0.00040525257127588824;0.001040754198300447
salviani;0.0003887290480775455;0.003061659174010369;0.00034927286248895507;0.0005892901023897253
rhomaioi;4.494148114901818e-06;1.2061855054830956e-05;3.24476288667202e-05;9.52772292857612e-07
othia;0.002640284736778434;0.0035238676476799643;1.2115520679488979e-05;0.0003926720512502887
massiliensis;7.457293666334027e-06;5.534686764457509e-05;4.365571262135213e-05;2.8262229043843782e-05
bruni;2.9180629834261072e-05;6.950446888534931e-05;0.0005612417456703879;0.00046442539045578264
recruitment;0.00027073315737722903;0.0012348041396364822;0.00012310556119085874;0.0012811574423872928
ostrogothic;0.0015534413283338983;8.642393080030963e-05;2.18229408850761e-06;0.0002829537527088772
sixth;0.0006259986258413441;0.0002606363664778576;0.00044793272455825016;0.0033179730648313466
prejudice;6.90278651422584e-07;0.00012146533039680063;0.0003546658117526186;2.5240653045015012e-05
theodosius;0.0010634716732212182;0.0002676126475148811;0.0006748599922779807;0.001428849432783344
furor;1.1644425405240908e-06;3.0109652499601628e-06;1.3355645759900763e-05;7.738226989727104e-05
greco;1.5647203175208145e-05;0.0002208012856958556;0.0008252601295629112;0.0010298373348461621
maximinus;0.007234643544123044;0.00610757766041378;2.4788980245340193e-06;0.00038710213288843025
bosporus;0.00010687259935829401;2.370194494105146e-05;4.8949134361535226e-05;3.163413454895167e-05
caesarea;0.0001436579256698033;0.00012127079644832337;1.370527915740834e-05;0.0001496556605758898
arianism;0.003175415611039933;0.003898240265547747;8.257354833509361e-05;0.0001466353315042242
cadastral;1.7342406954330614e-05;6.443224644978098e-05;3.71476347227052e-05;2.6366624680208614e-05
adversarial;1.142435578057994e-05;6.782518587741516e-06;8.702879093588801e-06;1.2198095025740576e-06
term;3.557045349967455e-05;0.004723025257081965;0.01754217106558907;0.010159083350036388
invective;0.00022217150639644665;0.0008166052046893571;0.003981689461621795;0.005122818664687644
senior;0.00205853582782158;0.002106009895679567;0.00014743079022679697;0.00013938374317691704
barrier;4.754430093746158e-05;0.0012084376905455942;0.0031093700077851226;0.00455677240499962
episcopi;0.006719583279678918;0.011194907342145337;4.935119648097801e-08;0.001031382067851439
armenia;0.00029989084074264703;0.00042269730654940894;6.630182367551483e-05;8.623687906288267e-05
syriac;0.00020506985047399927;4.655963642720403e-05;0.00010484351313824038;0.00023804831549551638
honorius;0.0012457381129555003;0.0006837420959758885;0.0006955182161849809;0.0019921919900513117
4th;2.400753691145688e-06;0.0002237576257846901;0.00223024340396593;0.00010618398628533916
fear;0.0008002758675871249;0.0005585114009587476;7.354254953672098e-07;0.00211649441873888
teall;0.0002358955397434008;0.001321415471645811;3.704932771687421e-05;0.0024340008629101105
presbyteri;0.0019658516122392283;0.006408679313092058;9.533078790404422e-05;0.0010443690701642235
speak;6.75797102834597e-05;0.0018798305990277197;0.008658542137616732;0.004999102048737121
inhabitant;0.00010226044240033143;0.0010597502375198021;0.000882161885647326;0.00026033008638039597
chron;0.0028882563583881088;5.031445965282211e-05;0.004975897571771294;0.017424470798801373
corruptio;1.0630635885441518e-05;4.712431379481938e-05;0.0004965571491300117;8.56701346548102e-05
valentinian;0.0011147331275567053;3.434033754158059e-05;0.00033934070985422595;0.002703100518087757
general;0.00027039130871021704;0.0036291382216878504;0.0029525489616313593;1.4265125100543756e-06
employ;0.00040534236795939635;0.0020327755591740804;0.0001285086004728351;0.004057932663130221
classical;0.001968054066317658;0.00040406329495107867;0.0001727427650220316;0.00021749340593410724
promotus;0.0005867912842201902;0.0003076562511176837;0.002060072565787249;1.006619610869943e-05
orose;1.7817238392541942e-05;1.5070503458154565e-05;1.576457723249149e-05;1.1768695144950274e-05
society;0.011162529791636424;0.0016046128005339443;0.0014757886791718642;0.0031399402180521336
antagonism;8.99699928274387e-06;1.0401553151868983e-05;0.00013133222331371285;9.806288138462372e-05
395;0.00045313852947952236;0.0016097409622738074;0.008033099483418365;0.0035882599201296278
barbarorum;0.0001427315070629841;1.885350843448557e-05;0.00010499553465524058;3.095939855120761e-05
foederati;0.0002478238571257127;0.0002377600061065078;0.00025317504638928685;0.00037407480920122855
kindness;1.2314086533025936e-05;8.594736936962011e-06;0.00021004819795860042;0.00046475333721517564
victory;0.0021820123014860532;0.003132537081791036;9.311602156887494e-05;0.001822840177088547
dubos;4.859782939720024e-05;4.083695263142917e-06;8.705441955634758e-07;1.3517725350495878e-06
fashion;0.00012168491084575637;2.6740033988492005e-05;0.00039342289334858265;0.0002641742391823077
patrick;0.000610137961960179;0.000521604477349462;0.00037934591600502184;7.55549627468194e-06
lime;3.6215850259720054e-06;6.813164833092149e-05;2.6983439623107157e-05;0.0002673213877491023
vandals;2.7946763353192343e-05;2.6464106511573584e-05;7.644751064926841e-07;4.351131736003513e-05
conant;5.283804784743629e-07;4.221146171731332e-06;2.0972473452440823e-07;1.8968186680576893e-05
tours;0.001046362086340731;0.0035521463103028953;0.0004795346629703173;0.0009220951475015746
purge;4.543185551735143e-05;7.729452510059697e-05;6.939003544431996e-05;1.161431705467861e-06
leo;0.0027847719786955947;0.00031340392088884285;0.0035005896274741054;0.012576906394318289
world;0.007766332409210176;0.0003438060518791065;0.0005243971291645665;0.0018257813854494485
civilizing;3.728678693846772e-05;2.6635198953460367e-05;0.00016805334440650368;0.00034374702166409775
latin;0.0004363715952106163;0.0002824963648843344;0.0031816280156972735;0.002732227847500782
οἱ;5.248168492948757e-05;2.021425275536996e-07;0.00019458375889967012;0.0001569593612570671
unification;9.602630362294224e-05;2.9215268608921043e-05;3.964922241177572e-05;0.00014507793585979119
windisch;1.4696325742696572e-07;8.221632266708026e-07;5.820204173825231e-05;4.591249924914491e-05
intelligentsia;4.576518346071262e-06;2.5510825478571713e-05;2.4887671507143023e-05;6.203600832970745e-05
adjoin;9.055334040794184e-05;3.0960293334618255e-05;1.4263485133254441e-05;5.8550458599635596e-05
clergy;0.0032513558611677942;0.0009567322847030366;0.0016450443825104298;2.2934294524210865e-05
zosimus;0.0009147111929902797;4.35102668352717e-06;0.000882932800261994;0.0019356733703674172
hom;0.00010657206089956627;1.437005226999984e-06;2.766851660795167e-06;6.028826745980798e-06
moslem;1.3369044360554951e-06;2.1350676586067253e-05;0.00015618485214571277;8.366585451346034e-06
city;0.004159276332368203;0.00014976671105697512;0.0033002452721596644;0.009884622124163694
