year,reseau,n_noeuds,n_liens,densite,composantes,taille_lcc,pct_lcc,diametre_lcc,clustering_moyen,degre_moyen,degre_pond_moyen
1994,simple,916,4986,0.01189777364163505,232,50,5.458515283842795,1,0.0530152549652437,10.88646288209607,11.222707423580786
1994,newman,916,4986,0.01189777364163505,232,50,5.458515283842795,1,0.027146946750337162,10.88646288209607,1.195414847161572
1994,pub,332,431,0.007844065082080588,232,35,10.542168674698797,4,0.03066101870976785,2.5963855421686746,4.054216867469879
1995,simple,995,5089,0.010290891075093778,259,50,5.025125628140704,1,0.05214622418205288,10.229145728643216,10.542713567839195
1995,newman,995,5089,0.010290891075093778,259,50,5.025125628140704,1,0.02776794852287673,10.229145728643216,1.1879396984924624
1995,pub,365,445,0.006698780671383411,259,35,9.58904109589041,4,0.029761012642168492,2.4383561643835616,3.780821917808219
1996,simple,1062,5196,0.00922272453766567,275,51,4.80225988700565,2,0.05179061564530559,9.785310734463277,10.08286252354049
1996,newman,1062,5196,0.00922272453766567,275,51,4.80225988700565,2,0.027929463150404003,9.785310734463277,1.1911487758945387
1996,pub,395,477,0.006129923536593202,275,35,8.860759493670885,4,0.030417600915344702,2.4151898734177215,3.6658227848101266
1997,simple,1178,5429,0.007831195826054845,302,51,4.32937181663837,2,0.05222957885644052,9.217317487266554,9.514431239388795
1997,newman,1178,5429,0.007831195826054845,302,51,4.32937181663837,2,0.02855035206996856,9.217317487266554,1.195246179966044
1997,pub,439,524,0.005450328163842689,302,38,8.656036446469248,4,0.03365630715969791,2.387243735763098,3.580865603644647
1998,simple,1239,5506,0.007179170236041625,318,51,4.116222760290557,2,0.05217608525235969,8.887812752219531,9.184826472962067
1998,newman,1239,5506,0.007179170236041625,318,51,4.116222760290557,2,0.02929122634697298,8.887812752219531,1.20500403551251
1998,pub,471,558,0.0050413335140262906,318,39,8.280254777070063,4,0.03420198005073402,2.3694267515923566,3.515923566878981
1999,simple,1572,9550,0.007734008419136285,361,68,4.325699745547073,3,0.055791009768044485,12.150127226463104,12.419847328244275
1999,newman,1572,9550,0.007734008419136285,361,68,4.325699745547073,3,0.027287615250301496,12.150127226463104,1.1844783715012723
1999,pub,538,618,0.004278208136902661,361,40,7.434944237918216,4,0.03295548822111312,2.2973977695167287,3.3605947955390336
2000,simple,1815,12421,0.007545232823372544,391,221,12.176308539944904,7,0.05692899013851038,13.687052341597797,13.948209366391184
2000,newman,1815,12421,0.007545232823372544,391,221,12.176308539944904,7,0.026441322610954575,13.687052341597797,1.1917355371900826
2000,pub,603,724,0.003988914783777679,391,42,6.965174129353234,4,0.03629644303750046,2.4013266998341627,3.4228855721393034
2001,simple,1998,13933,0.006983949397569828,422,357,17.86786786786787,8,0.05734360409510124,13.946946946946946,14.194194194194194
2001,newman,1998,13933,0.006983949397569828,422,357,17.86786786786787,8,0.026359613860063576,13.946946946946946,1.1901901901901901
2001,pub,656,810,0.0037702476261403835,422,43,6.554878048780488,4,0.03808889910706994,2.4695121951219514,3.448170731707317
2002,simple,2230,16696,0.006717806653831375,461,534,23.946188340807176,10,0.05759279637694187,14.973991031390135,15.217937219730942
2002,newman,2230,16696,0.006717806653831375,461,534,23.946188340807176,10,0.026367580782285984,14.973991031390135,1.193273542600897
2002,pub,720,874,0.0033766033070622777,461,53,7.361111111111112,9,0.03732977512247639,2.4277777777777776,3.3916666666666666
2003,simple,2439,18332,0.006165869698073519,494,603,24.723247232472325,12,0.05828330846374122,15.03239032390324,15.275932759327594
2003,newman,2439,18332,0.006165869698073519,494,603,24.723247232472325,12,0.026673109854618737,15.03239032390324,1.1976219762197622
2003,pub,783,970,0.0031683504652902307,494,67,8.55683269476373,11,0.03777029527398335,2.4776500638569603,3.4329501915708813
2004,simple,2740,22673,0.00604221797608483,537,775,28.284671532846716,12,0.060358345359863584,16.54963503649635,17.446715328467153
2004,newman,2740,22673,0.00604221797608483,537,775,28.284671532846716,12,0.02662899997865536,16.54963503649635,1.2244525547445255
2004,pub,857,1081,0.0029471422807227994,537,95,11.085180863477246,11,0.008985704231949783,2.5227537922987167,3.6242707117852975
2005,simple,3016,25491,0.005606582472254114,586,858,28.448275862068968,12,0.06017969389483037,16.903846153846153,17.746684350132625
2005,newman,3016,25491,0.005606582472254114,586,858,28.448275862068968,12,0.02654169552438855,16.903846153846153,1.2281167108753315
2005,pub,939,1196,0.002715768487548565,586,107,11.395101171458998,11,0.008853879993691333,2.5473908413205537,3.642172523961661
2006,simple,3290,27331,0.00505156268338507,640,905,27.50759878419453,12,0.06032467854625355,16.614589665653494,17.425531914893618
2006,newman,3290,27331,0.00505156268338507,640,905,27.50759878419453,12,0.02680441049103282,16.614589665653494,1.229179331306991
2006,pub,1023,1266,0.002421793849102731,640,111,10.850439882697946,11,0.009000985455793378,2.4750733137829912,3.558162267839687
2007,simple,3638,29806,0.004505341306887567,694,1016,27.92743265530511,12,0.03518275187113944,16.38592633315008,17.388675096206708
2007,newman,3638,29806,0.004505341306887567,694,1016,27.92743265530511,12,0.027222425915510436,16.38592633315008,1.2707531610775151
2007,pub,1140,1615,0.0024875621890547263,694,135,11.842105263157894,11,0.011939871831873616,2.8333333333333335,5.973684210526316
2008,simple,3914,30473,0.003979371984505613,747,1061,27.1078180889116,12,0.0351874640555091,15.571282575370464,16.508431272355647
2008,newman,3914,30473,0.003979371984505613,747,1061,27.1078180889116,12,0.02784656050885192,15.571282575370464,1.264179867143587
2008,pub,1232,1773,0.002338137086309304,747,149,12.094155844155845,11,0.011477174690849228,2.8782467532467533,5.808441558441558
