"";"banalfreq";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"temps";72;-0,811;-0,3315;-0,2742;-0,3128;0,5206;1,0642;-0,6175;-0,2937;-0,3124;0,6438;0,2832;-0,6679;-0,1868;0,4686;0,5159;-0,2427;-0,3359;-0,2305;-0,142;-0,3543;0,4228;-0,2334;-0,0492;-0,4316;-0,424;-0,288;-0,1426;-0,1113;-0,1932;-0,1269;0,5291;1,5585;0,2754;-0,2369;0,8369;-0,167;-0,1763;0,993;-0,2095;0,2616;0,3996;1,1547;-0,5395;-0,1528;-0,2258
"continuer";14;0,5166;-0,0644;-0,1342;-0,0608;-0,0937;-0,0884;0,6172;0,4306;0,381;-0,6795;-0,3255;-0,2464;1,0958;-0,0351;-0,1655;-0,0472;0,5263;-0,0448;-0,0276;-0,0689;-0,04;-0,0454;-0,0096;0,7554;-0,0824;-0,1386;-0,0277;-0,0216;-0,0376;-0,0247;0,2886;-0,2538;-0,2397;0,9975;-0,057;-0,0325;-0,0343;1,0005;-0,0407;0,268;-0,1167;-0,381;0,2873;0,7169;-0,0439
"provoquer";15;-0,1689;1,9735;-0,1438;-0,0651;-0,1004;-0,0948;-0,1286;-0,625;-0,2502;1,1815;-0,3487;0,3415;-0,0389;-0,0376;-0,1773;-0,0505;1,2792;-0,048;-0,0296;-0,0738;-0,0429;-0,0486;-0,0102;-0,0899;-0,0883;-0,1485;-0,0297;-0,0232;-0,0402;-0,0264;0,2684;0,9086;-0,2569;-0,0493;-0,0611;-0,0348;-0,0367;0,9721;-0,0436;-0,3608;-0,125;0,2151;0,2672;-0,0992;-0,047
"destruction";10;-0,1126;-0,046;-0,0959;-0,0434;-0,0669;-0,0632;-0,0857;-0,4167;-0,1668;0,5434;0,3825;-0,176;-0,0259;-0,025;-0,1182;-0,0337;0,6516;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;1,0603;-0,1813;-0,1712;-0,0329;-0,0407;1,2841;-0,0245;1,1402;-0,0291;-0,2405;-0,0833;0,332;0,3931;-0,0661;-0,0313
"prendre";90;-0,2261;-0,4144;-0,3847;0,6468;0,3969;0,4273;-0,3253;-0,5635;-0,4735;1,2995;-0,3073;-0,5208;0,3809;-0,2256;0,3605;0,8132;-0,4682;-0,2882;1,1999;-0,4429;0,9271;-0,2918;-0,0615;-0,187;0,9149;-0,4033;-0,1783;-0,1391;-0,2416;1,2856;0,3226;0,2971;0,3363;-0,2962;-0,3669;-0,2088;-0,2205;-0,294;-0,262;0,9509;1,0328;-1,0776;-0,4844;0,8083;-0,2823
"créer";19;-0,2139;-0,0874;0,4652;-0,0825;0,5955;0,6171;-0,1629;-0,7917;-0,317;-0,4107;-0,4417;0,27;-0,0493;-0,0476;-0,2246;-0,064;1,9545;-0,0608;-0,0375;-0,0934;-0,0543;-0,0616;-0,013;-0,1138;-0,1118;-0,1881;-0,0376;-0,0293;-0,051;-0,0335;-0,426;-0,3444;1,4536;0,8729;-0,0774;-0,0441;-0,0465;-0,062;-0,0553;0,5637;1,3024;-0,169;0,2031;0,6001;-0,0596
"occuper";11;-0,1238;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;-0,0943;-0,4583;-0,1835;0,4854;0,3516;-0,1936;-0,0285;-0,0275;-0,13;-0,0371;1,5317;-0,0352;-0,0217;0,9314;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;0,6541;-0,0218;-0,017;-0,0295;-0,0194;1,8104;-0,1994;-0,1884;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;-0,2646;-0,0917;0,3027;-0,2476;-0,0727;-0,0345
"position";13;-0,1464;-0,0598;0,6029;-0,0564;-0,087;-0,0821;0,6453;-0,5417;-0,2169;-0,631;-0,3022;-0,2288;-0,0337;-0,0326;-0,1536;-0,0438;1,3942;-0,0416;-0,0256;0,8636;1,0859;-0,0421;-0,0089;-0,0779;-0,0765;1,474;-0,0257;-0,0201;-0,0349;-0,0229;-0,2914;-0,2357;1,909;-0,0428;-0,053;-0,0301;-0,0318;-0,0424;-0,0378;-0,3127;0,656;-0,3538;0,3096;-0,0859;-0,0408
"différent";19;0,4101;-0,0874;-0,1822;-0,0825;-0,1272;-0,12;-0,1629;1,049;0,2857;-0,1711;-0,4417;0,27;-0,0493;-0,0476;1,0403;-0,064;0,4191;0,884;-0,0375;-0,0934;-0,0543;-0,0616;-0,013;-0,1138;-0,1118;-0,1881;-0,0376;1,1848;-0,051;-0,0335;-0,426;-0,3444;-0,3254;-0,0625;0,7871;-0,0441;-0,0465;-0,062;0,9227;-0,457;-0,1584;-0,5171;0,6039;-0,1256;0,8922
"permettre";49;1,4386;-0,2255;-0,47;1,0678;-0,328;-0,3096;-0,4201;0,5383;0,2552;-0,2346;-0,2788;0,2332;-0,1271;-0,1228;-0,5793;0,4998;0,9106;-0,1568;-0,0966;-0,2411;-0,1402;-0,1588;-0,0335;-0,2937;0,314;-0,1567;-0,097;-0,0757;-0,1315;0,7439;0,3465;-0,1701;0,5315;-0,1612;0,4334;-0,1137;-0,12;1,2822;-0,1426;-0,6001;-0,4085;0,2378;-0,262;0,2792;0,5258
