"";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"culture";-0,2252;-0,092;-0,1918;-0,0868;-0,1338;0,5979;0,4866;0,9831;0,2707;-0,4437;-0,1428;1,3661;-0,0519;-0,0501;-0,2364;-0,0674;0,4019;-0,064;-0,0394;-0,0984;-0,0572;-0,0648;-0,0137;-0,1198;-0,1177;-0,198;-0,0396;1,1633;-0,0536;-0,0352;-0,4484;0,7076;-0,3425;-0,0658;-0,0815;-0,0464;-0,049;-0,0653;-0,0582;0,5325;-0,1667;-0,1838;-0,1355;-0,1322;-0,0627
"avoir";-0,9897;2,9416;0,761;1,5134;1,082;0,66;0,7815;-2,0599;-0,6616;-2,1115;-1,2978;-0,6138;3,1628;-0,3929;-1,5714;0,4074;-0,2978;2,1879;0,4535;0,3379;1,6656;4,4555;0,4931;0,6629;-1,9584;5,0744;0,8975;-0,4702;0,4202;0,3895;0,5749;0,773;0,8671;1,4827;0,677;2,4425;-3,1407;-0,4093;-0,2779;-3,8019;-1,2964;-1,4092;-2,0464;3,2507;2,276
"son";-0,4234;0,8944;0,7315;1,3918;0,7252;0,8031;0,4352;-3,7418;-1,8585;-0,8262;-0,8155;0,3843;0,7235;1,2384;-0,7125;0,2373;-0,395;0,9415;-0,1641;2,0964;0,6413;-0,3544;-0,1718;-0,8537;0,6008;0,3017;0,4998;1,8996;0,339;-0,4433;0,4148;-0,5247;-2,5129;3,8615;0,3808;0,4127;-0,231;-0,8212;-0,3012;0,3135;0,6925;-0,795;1,2787;2,2836;-0,3373
"rester";-0,7659;0,7932;-0,6523;-0,2954;-0,4553;-0,4298;-0,5832;-0,2446;0,3235;0,3655;0,5522;-1,1974;-0,1764;-0,1704;-0,345;1,0116;4,3231;-0,2177;-0,1341;-0,3346;-0,1946;1,8447;-0,0465;-0,4076;-0,4004;-0,2637;-0,1347;-0,1051;-0,1825;0,6176;0,3482;0,5194;0,3081;-0,2237;0,3263;-0,1578;-0,1665;-0,2221;-0,1979;0,2992;-0,2017;-0,2199;-0,261;-0,1392;1,0643
"s";0,2621;-0,2347;0,281;-0,3995;-2,0937;-1,2284;-0,2287;-0,6658;-0,3117;3,1816;1,8832;-1,1595;0,2553;-0,7836;0,6574;0,3626;-0,6811;-0,4799;-0,2317;0,5588;-0,178;-0,4887;-0,2137;-0,7038;1,2074;-0,7792;-0,2332;-0,4832;0,8936;1,4123;0,5101;0,2911;-0,6361;1,0517;1,5492;-0,2974;0,2803;-0,2322;-0,1842;-0,8626;-0,8118;0,3621;-0,311;-1,3038;-0,4658
"appuyer";0,8469;-0,1196;-0,2493;-0,1129;-0,174;-0,1643;-0,2229;0,6774;0,1995;1,2992;1,3564;-0,4577;-0,0674;-0,0651;-0,3073;-0,0876;0,3176;-0,0832;-0,0513;-0,1279;-0,0744;-0,0843;-0,0178;-0,1558;-0,153;-0,2574;-0,0515;-0,0402;-0,0697;-0,0458;-0,5829;-0,4714;1,7728;-0,0855;-0,1059;-0,0603;-0,0637;-0,0849;-0,0756;0,3849;-0,2167;0,324;-0,5854;-0,1719;-0,0815
"sur";0,9552;0,9658;-1,0869;-0,3202;2,6257;2,4153;0,8964;-0,8743;-1,6079;-0,8727;-1,1723;-0,5892;-0,9862;0,7557;-0,3626;-0,3588;-1,4043;-0,6345;-0,3126;0,8587;1,8796;-0,3334;-0,2598;-0,3921;0,8478;4,2064;0,2879;-0,2145;-1,02;-0,2633;0,6875;-0,8298;0,5231;-0,6595;-1,5494;-0,1728;-0,4316;2,0835;1,368;-1,5453;1,5106;0,7803;-0,2618;-0,7583;-0,6164
"les";0,7905;0,8966;-1,7243;-1,2889;-1,85;-2,1869;1,2587;-0,4741;-0,5011;-0,9646;-0,9704;3,5297;-1,1576;-0,7814;-0,4993;-0,3487;-5,1079;-1,7154;-0,279;-0,4554;-1,0495;-2,2398;0,4061;-0,4943;-2,5535;-0,7117;-1,3961;-0,605;-0,3218;-0,7821;8,1331;-1,3282;0,4825;-1,0819;1,0831;-1,2885;-0,5198;0,7178;-1,0881;5,203;-0,2748;2,1314;1,9269;-0,485;-0,7241
"écrire";-0,7547;-0,3084;-0,6427;-0,291;-0,1386;0,2056;1,3743;2,5801;1,3943;0,5611;0,333;-0,3011;-0,1738;1,2436;-0,7923;-0,2259;0,6315;-0,2145;-0,1322;-0,3297;-0,1917;-0,2172;-0,0458;-0,4016;-0,3945;-0,6637;-0,1327;-0,1035;-0,1798;-0,1181;0,3592;-1,2151;-1,1479;-0,2204;1,603;-0,1554;-0,1641;-0,2188;-0,195;0,3094;-0,5587;1,3051;-1,509;-0,4431;1,0753
"auteur";-0,4279;0,4795;-0,3644;0,5001;0,3533;0,3719;2,1997;0,8882;-0,238;-0,2039;0,2248;0,3481;-0,0986;-0,0952;-0,4492;-0,1281;0,6118;-0,1216;-0,0749;-0,1869;-0,1087;-0,1232;-0,026;0,3893;-0,2237;-0,3763;-0,0753;-0,0587;-0,1019;-0,067;-0,3729;-0,689;-0,6509;-0,125;3,3656;-0,0881;0,7148;-0,1241;0,6483;-0,4138;-0,3168;-0,4954;0,5217;-0,2513;-0,1192
